--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
V/AlarmManager(  584): sending alarm PendingIntent{42d6d9e0: PendingIntentRecord{42d6d8a8 android broadcastIntent}}, intent=com.android.server.ThrottleManager.action.POLL, type=ELAPSED_REALTIME, count=1, when=4955764, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(43440f18): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(434500f0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42c64110: PendingIntentRecord{43183b88 com.viber.voip broadcastIntent}}, intent=com.viber.voip.action.KEEP_ALIVE_RECEIVE, type=RTC_WAKEUP, count=1, when=1427234372348, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(434500f0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4344e6d8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{4334b248: PendingIntentRecord{4324c1d8 com.whatsapp broadcastIntent}}, intent=com.whatsapp.alarm.CLIENT_PING_TIMEOUT, type=ELAPSED_REALTIME_WAKEUP, count=1, when=4978875, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(4344e6d8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43369eb0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{426a7560: PendingIntentRecord{430a21e0 com.android.phone broadcastIntent}}, intent=com.android.internal.telephony.gprs-data-stall, type=ELAPSED_REALTIME, count=1, when=4982212, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(43369eb0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(431e2ca0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42fe76e0: PendingIntentRecord{42bff060 nz.barees.android.cachesensedemo broadcastIntent}}, intent=null, type=RTC_WAKEUP, count=1, when=1427235000000, repeateInterval=600000
V/AlarmManager(  584): sending alarm PendingIntent{429db508: PendingIntentRecord{42d0af18 android broadcastIntent}}, intent=android.intent.action.TIME_TICK, type=RTC, count=1, when=1427234400000, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(431e2ca0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/BatteryService(  584): updateBatteryStats: auto update.
D/PowerManagerService(  584): acquireWakeLock(43238cc0): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(43238cc0): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/BatteryService(  584): updateBatteryStats: update triggered by UEvent.
D/PowerManagerService(  584): acquireWakeLock(42fa6170): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): runHtcPowerSaverCheck ======================================
D/PowerUI (  840): closing low battery warning: level=46
D/PowerUI (  840): plugged = true, health = 2, mBatteryLevel = 46, mPluggedBatteryLevel = 34, mLowBatteryWarningLevel2 = 25, mshowLowChargingWarning2 = true
D/WifiService(  584): ACTION_BATTERY_CHANGED pluggedType: 2
D/NotificationService(  584): mIntentReceiver() Intent.ACTION_BATTERY_CHANGED
D/PowerManagerService(  584): releaseWakeLock(42fa6170): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(430dc840): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{429db508: PendingIntentRecord{42d0af18 android broadcastIntent}}, intent=android.intent.action.TIME_TICK, type=RTC, count=1, when=1427234460000, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(430dc840): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/BatteryService(  584): updateBatteryStats: auto update.
D/PowerManagerService(  584): acquireWakeLock(43097c00): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(43097c00): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/BatteryService(  584): updateBatteryStats: update triggered by UEvent.
D/PowerManagerService(  584): acquireWakeLock(4332bc40): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): runHtcPowerSaverCheck ======================================
D/PowerUI (  840): closing low battery warning: level=46
D/PowerUI (  840): plugged = true, health = 2, mBatteryLevel = 46, mPluggedBatteryLevel = 34, mLowBatteryWarningLevel2 = 25, mshowLowChargingWarning2 = true
D/WifiService(  584): ACTION_BATTERY_CHANGED pluggedType: 2
D/NotificationService(  584): mIntentReceiver() Intent.ACTION_BATTERY_CHANGED
D/PowerManagerService(  584): releaseWakeLock(4332bc40): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4342dad0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{429db508: PendingIntentRecord{42d0af18 android broadcastIntent}}, intent=android.intent.action.TIME_TICK, type=RTC, count=1, when=1427234520000, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(4342dad0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(431dcdc8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{43245160: PendingIntentRecord{42d779b8 com.google.android.gms broadcastIntent}}, intent=com.google.android.gms.nlp.ALARM_WAKEUP_LOCATOR, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5108086, repeateInterval=0
D/PowerManagerService(  584): acquireWakeLock(42d980d8): PARTIAL_WAKE_LOCK , tag=NlpWakeLock, flags=0x1, pid=1390, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(431dcdc8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42e75bb8): PARTIAL_WAKE_LOCK , tag=NlpWakeLock, flags=0x1, pid=1390, uid=10017, mUserState=0x0
D/WifiService(  584): acquireWifiLockLocked: WifiLock{NlpWifiLock type=2 binder=android.os.BinderProxy@42e76400}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/PowerManagerService(  584): releaseWakeLock(42d980d8): PARTIAL_WAKE_LOCK , tag=NlpWakeLock, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4340fda0): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1, pid=984, uid=1001, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(4340fda0): PARTIAL_WAKE_LOCK , tag=RILJ, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(4319cc40): PARTIAL_WAKE_LOCK , tag=NlpWakeLock, flags=0x1, pid=1390, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(4319cc40): PARTIAL_WAKE_LOCK , tag=NlpWakeLock, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43123088): PARTIAL_WAKE_LOCK , tag=GCoreFlp, flags=0x1, pid=1390, uid=10017, mUserState=0x0
D/PowerManagerService(  584): acquireWakeLock(42e45708): PARTIAL_WAKE_LOCK , tag=GCoreFlp, flags=0x1, pid=1390, uid=10017, mUserState=0x0
